,bigram,counts
0,"('reinforcement', 'learning')",44
1,"('deep', 'reinforcement')",12
2,"('learning', 'rl')",6
3,"('unmanned', 'ship')",6
4,"('robust', 'design')",5
5,"('intelligent', 'building')",5
6,"('learning', 'method')",5
7,"('deep', 'learning')",4
8,"('learning', 'algorithm')",4
9,"('influence', 'operation')",4
10,"('computer', 'vision')",4
15,"('learning', 'reinforcement')",3
17,"('human', 'preference')",3
16,"('human', 'reference')",3
14,"('machine', 'learning')",3
13,"('future', 'research')",3
12,"('rl', 'algorithm')",3
11,"('electrified', 'powertrains')",3
54,"('problem-solving', 'behaviour')",2
44,"('proxy', 'reward')",2
45,"('number', 'reward')",2
46,"('various', 'domain')",2
47,"('learning', 'computer')",2
48,"('source', 'code')",2
49,"('time', 'unmanned')",2
51,"('multi-agent', 'domain')",2
52,"('multi-agent', 'reinforcement')",2
53,"('cognitive', 'psychology')",2
63,"('behavior', 'policy')",2
55,"('cognitive', 'mechanism')",2
56,"('hierarchical', 'reinforcement')",2
57,"('approach', 'may')",2
58,"('artificial', 'agent')",2
59,"('inspired', 'hierarchical')",2
60,"('unifying', 'architecture')",2
61,"('adversarially', 'trained')",2
62,"('offline', 'rl')",2
42,"('reward', 'function')",2
64,"('multi-agent', 'setting')",2
65,"('learning', 'multi-agent')",2
43,"('human', 'feedback')",2
50,"('ship', 'time')",2
41,"('reference', 'summary')",2
28,"('rl', 'task')",2
40,"('predict', 'human')",2
18,"('recent', 'year')",2
19,"('rl', 'based')",2
20,"('electric', 'vehicle')",2
22,"('learning', 'deep')",2
23,"('also', 'discussed')",2
24,"('research', 'field')",2
25,"('complex', 'environment')",2
26,"('uncertainty', 'system')",2
27,"('recent', 'advance')",2
21,"('research', 'area')",2
29,"('generates', 'over-optimistic')",2
35,"('safe', 'exploration')",2
39,"('trained', 'predict')",2
30,"('method', 'applied')",2
38,"('advance', 'deep')",2
36,"('research', 'direction')",2
37,"('achieve', 'human-level')",2
34,"('reward', 'problem')",2
33,"('sparse', 'reward')",2
32,"('exploration', 'technique')",2
31,"('control', 'problem')",2
85,"('huge', 'impact')",1
91,"('based', 'algorithm')",1
86,"('impact', 'energy')",1
87,"('energy', 'efficiency')",1
88,"('efficiency', 'electrified')",1
89,"('powertrains', 'recent')",1
90,"('year', 'reinforcement')",1
96,"('electrified', 'powertrain')",1
92,"('algorithm', 'intensely')",1
93,"('intensely', 'investigated')",1
94,"('investigated', 'develop')",1
95,"('develop', 'electrified')",1
97,"('powertrain', 'specific')",1
98,"('specific', 'depth')",1
83,"('strategy', 'shown')",1
84,"('shown', 'huge')",1
71,"('climate', 'change')",1
82,"('management', 'strategy')",1
73,"('due', 'emission')",1
66,"('impact', 'internal')",1
67,"('internal', 'combustion')",1
68,"('combustion', 'engine-powered')",1
69,"('engine-powered', 'automobile')",1
70,"('automobile', 'climate')",1
72,"('change', 'due')",1
74,"('emission', 'depletion')",1
81,"('energy', 'management')",1
75,"('depletion', 'fossil')",1
76,"('fossil', 'fuel')",1
77,"('fuel', 'contributed')",1
78,"('contributed', 'progress')",1
79,"('progress', 'electrified')",1
80,"('powertrains', 'energy')",1
99,"('depth', 'hybrid')",1
