,bigram,counts
0,"('reinforcement', 'learning')",12
1,"('deep', 'reinforcement')",5
70,"('using', 'massively')",1
69,"('minute', 'using')",1
68,"('walk', 'minute')",1
67,"('learning', 'walk')",1
66,"('learning', 'learning')",1
65,"('multi-agent', 'deep')",1
64,"('ship', 'multi-agent')",1
63,"('unmanned', 'ship')",1
62,"('optimization', 'unmanned')",1
61,"('control', 'optimization')",1
60,"('path', 'control')",1
59,"('learning-based', 'path')",1
58,"('reinforcement', 'learning-based')",1
57,"('comprehensive', 'deep')",1
56,"('vision', 'comprehensive')",1
55,"('computer', 'vision')",1
54,"('learning', 'computer')",1
53,"('mitigation', 'deep')",1
52,"('potential', 'mitigation')",1
51,"('threat', 'potential')",1
50,"('emerging', 'threat')",1
71,"('massively', 'parallel')",1
72,"('parallel', 'deep')",1
73,"('learning', 'intelligent')",1
85,"('metadrive', 'composing')",1
94,"('multi-objective', 'reinforcement')",1
93,"('guide', 'multi-objective')",1
92,"('practical', 'guide')",1
91,"('learning', 'practical')",1
90,"('generalizable', 'reinforcement')",1
89,"('scenario', 'generalizable')",1
88,"('driving', 'scenario')",1
87,"('diverse', 'driving')",1
86,"('composing', 'diverse')",1
84,"('learning', 'metadrive')",1
74,"('intelligent', 'problem-solving')",1
83,"('offline', 'reinforcement')",1
82,"('critic', 'offline')",1
81,"('actor', 'critic')",1
80,"('trained', 'actor')",1
79,"('adversarially', 'trained')",1
78,"('learning', 'adversarially')",1
77,"('hierarchical', 'reinforcement')",1
76,"('integrated', 'hierarchical')",1
75,"('problem-solving', 'integrated')",1
49,"('operation', 'emerging')",1
48,"('influence', 'operation')",1
47,"('automated', 'influence')",1
12,"('solution', 'robust')",1
21,"('confirmation', 'bias')",1
20,"('positivity', 'confirmation')",1
19,"('root', 'positivity')",1
18,"('computational', 'root')",1
17,"('advance', 'computational')",1
16,"('recent', 'advance')",1
15,"('foundation', 'recent')",1
14,"('learning', 'foundation')",1
13,"('robust', 'reinforcement')",1
11,"('potential', 'solution')",1
23,"('learning', 'application')",1
10,"('challenge,', 'potential')",1
9,"('progress,', 'challenge,')",1
8,"('powertrains', 'progress,')",1
7,"('electrified', 'powertrains')",1
6,"('system', 'electrified')",1
5,"('management', 'system')",1
4,"('energy', 'management')",1
3,"('based', 'energy')",1
2,"('learning', 'based')",1
22,"('bias', 'reinforcement')",1
24,"('application', 'reinforcement')",1
46,"('language', 'automated')",1
36,"('world', 'learning')",1
45,"('generative', 'language')",1
44,"('overoptimization', 'generative')",1
43,"('reward', 'overoptimization')",1
42,"('law', 'reward')",1
41,"('scaling', 'law')",1
40,"('feedback', 'scaling')",1
39,"('human', 'feedback')",1
38,"('summarize', 'human')",1
37,"('learning', 'summarize')",1
35,"('learning,', 'world')",1
25,"('learning', 'building')",1
34,"('reinforcement', 'learning,')",1
33,"('learning,', 'reinforcement')",1
32,"('deep', 'learning,')",1
31,"('learning', 'deep')",1
30,"('exploration', 'deep')",1
29,"('control', 'exploration')",1
28,"('efficiency', 'control')",1
27,"('energy', 'efficiency')",1
26,"('building', 'energy')",1
95,"('learning', 'planning')",1
